 __________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________ 
|    Username / Q#->   |  1  |  b1 |  2  |  3  |  4  |  5  |  6  |  7  |  8  |  9  |  10 |  11 |  12 |  13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  28 |  29 |  30 |  31 |  32 | Last 33  |  Total   |
|     Bukowskified     |     |     |     |     |     |     |     |     |  B  |     |  D  |     |  B  |     |  D  |     |  C  |     |  A  |     |  A  |     |  A  |  B  |  C  |     |  B  |  A  |  D  |  B  |  A  |  D  |  D  |   9/17   |   9/17   |
|  CharlesDickensABox  |     |     |     |     |     |     |  A  |     |  B  |     |     |     |     |     |     |     |     |     |     |     |  A  |     |  A  |     |  D  |     |     |  A  |  C  |  B  |  A  |  C  |  D  |   9/11   |   9/11   |
|       coreyrein      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|       Da_Bullss      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |   1/1    |   1/1    |
|      Defreshs10      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |   0/1    |   0/1    |
|    DeliveratorMatt   |     |     |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|       demitris       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |     |     |   0/1    |   0/1    |
|      DerekLChase     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |  D  |     |   1/2    |   1/2    |
|        Eldias        |     |     |  A  |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |  A  |  C  |  D  |   6/6    |   6/6    |
|     EmprahCalgar     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |   1/2    |   1/2    |
|       fauxjolly      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |  B  |     |     |     |   2/2    |   2/2    |
|      felineswell     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |   1/1    |   1/1    |
|       freakers       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |   1/1    |   1/1    |
|  GermanDeath-Reggae  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |   1/1    |   1/1    |
|        giglia        |     |     |     |     |     |     |     |     |     |     |  A  |     |  B  |     |     |     |  C  |     |  A  |     |  A  |     |  A  |     |     |     |     |     |     |     |     |  C  |     |   6/7    |   6/7    |
|  GreenEyedTrombonist |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|    guyFierisPinky    |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|       homininet      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |  D  |  D  |   2/3    |   2/3    |
|     hufflepuffin9    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |   1/1    |   1/1    |
|    i_am_voldemort    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |  D  |   2/2    |   2/2    |
|      ignorememe      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
| ImFeelingTheUte-iest |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|   its_sandwich_time  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |  A  |     |  B  |  D  |     |     |  D  |  A  |     |  B  |  A  |  C  |  D  |   7/10   |   7/10   |
|     JagerVanKaas     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |  C  |     |  A  |     |  A  |     |  B  |  C  |  A  |     |  A  |  A  |  C  |  B  |  A  |  C  |  D  |  13/14   |  13/14   |
|       jimillett      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |  A  |     |     |   2/2    |   2/2    |
|        Kaetrin       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|   Kind-Sherbet-7857  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |   1/1    |   1/1    |
|         KWilt        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|      L33tminion      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      LorePhoenix     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |     |   1/1    |   1/1    |
|      maethor1337     |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      majornugzz      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|        Maytree       |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|       MegaTrain      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
| My_name_isOzymandias |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |   1/1    |   1/1    |
|    NoEconomics5699   |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|      notforthee      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |   1/1    |   1/1    |
|       NYCQuilts      |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      ocher_stone     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |  B  |     |     |     |   2/2    |   2/2    |
|      Oddly_Todd      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |  D  |   1/2    |   1/2    |
|     OoopsWhoopsie    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |     |   1/1    |   1/1    |
| OverturnedAppleCart3 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |  C  |     |     |     |     |   2/2    |   2/2    |
|     PaulSandwich     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |     |     |   0/1    |   0/1    |
|    PhysicalAd1078    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |  C  |     |     |     |     |   2/2    |   2/2    |
|     PlanetStarbux    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |   1/1    |   1/1    |
|       pmags3000      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |     |     |     |   0/1    |   0/1    |
|        poored1       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |  D  |     |   1/2    |   1/2    |
|     PowerfulDream    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|   QualifiedImpunity  |     |     |  A  |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
| Reasonable-Patient67 |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|       resolette      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|  RestaurantNovel8927 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |  A  |  C  |  D  |   4/4    |   4/4    |
|        roboats       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |   1/1    |   1/1    |
|       SAJedi425      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|       slawcool       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |   1/1    |   1/1    |
|        smrn23        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |   1/1    |   1/1    |
|    SnooBananas3355   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |   1/1    |   1/1    |
|    Spallanzani333    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |     |   0/1    |   0/1    |
|     Spinobreaker     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |   0/1    |   0/1    |
| Succ_Semper_Tyrannis |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |  B  |     |     |     |   2/2    |   2/2    |
|      supernerd2k     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|  TheodoraRoosevelt21 |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|        tomksfw       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |  B  |   1/2    |   1/2    |
|         tonei        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |   1/1    |   1/1    |
|     Vault14Hunter    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |   0/1    |   0/1    |
| whatnameisntusedalre |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |   0/2    |   0/2    |
|     Windowpain43     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |   1/1    |   1/1    |
|      yossi_peti      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |  D  |     |   1/2    |   1/2    |
| ____-__________-____ |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|        Total:        | 1/1 | 1/1 | 9/10| 1/1 | 6/8 | 1/1 | 3/5 | 0/1 | 4/5 | 1/1 | 4/5 | 1/1 | 4/4 | 1/1 | 2/4 | 0/1 | 8/9 | 0/1 | 9/9 | 0/1 |10/10| 0/1 | 0/8 | 3/8 | 1/6 | 1/1 | 1/6 |11/14|13/16|14/14|17/18|12/21|16/18| 150/206  | 150/206  |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|

