 __________________________________________________________________________________________________________________________________________________________________________________________________________________________ 
|    Username / Q#->   |  1  |  b1 |  2  |  3  |  4  |  5  |  6  |  7  |  8  |  9  |  10 |  11 |  12 |  13 |  14 |  15 |  16 |  17 |  18 |  19 |  20 |  21 |  22 |  23 |  24 |  25 |  26 |  27 |  25 | Last 29  |  Total   |
|    guyFierisPinky    |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      ignorememe      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |     |     |     |     |   0/1    |   0/1    |
|   its_sandwich_time  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |  A  |     |  B  |  D  |     |     |  D  |  A  |     |   3/6    |   3/6    |
|     JagerVanKaas     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |  C  |     |  A  |     |  A  |     |  B  |  C  |  A  |     |  A  |  A  |  C  |   9/10   |   9/10   |
|       jimillett      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|        Kaetrin       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      L33tminion      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      maethor1337     |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|        Maytree       |     |     |     |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|       MegaTrain      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |   1/1    |   1/1    |
| My_name_isOzymandias |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|    NoEconomics5699   |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|       NYCQuilts      |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|      ocher_stone     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
| OverturnedAppleCart3 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |  C  |   2/2    |   2/2    |
|     PaulSandwich     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |   0/1    |   0/1    |
|    PhysicalAd1078    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |  C  |   2/2    |   2/2    |
|       pmags3000      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |   0/1    |   0/1    |
|     PowerfulDream    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |   0/1    |   0/1    |
|   QualifiedImpunity  |     |     |  A  |     |  D  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   2/2    |   2/2    |
| Reasonable-Patient67 |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|       resolette      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|       SAJedi425      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  B  |     |     |     |     |     |   0/1    |   0/1    |
|       slawcool       |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|        smrn23        |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|    Spallanzani333    |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |     |   0/1    |   0/1    |
| Succ_Semper_Tyrannis |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |   1/1    |   1/1    |
|      supernerd2k     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|  TheodoraRoosevelt21 |     |     |     |     |     |     |     |     |  C  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   0/1    |   0/1    |
|  ThomasSecondChance  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  D  |   0/1    |   0/1    |
| whatnameisntusedalre |     |     |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  C  |     |     |     |     |   0/2    |   0/2    |
|      yossi_peti      |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  A  |     |   1/1    |   1/1    |
| ____-__________-____ |     |     |  A  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |   1/1    |   1/1    |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|        Total:        | 1/1 | 1/1 | 9/10| 1/1 | 6/8 | 1/1 | 3/5 | 0/1 | 4/5 | 1/1 | 4/5 | 1/1 | 4/4 | 1/1 | 2/4 | 0/1 | 8/9 | 0/1 | 9/9 | 0/1 |10/10| 0/1 | 0/8 | 3/8 | 1/6 | 1/1 | 1/6 |11/14|13/17|  91/136  |  91/136  |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|

